,text
11835,"Those are Brazilian girls. When we say Black and White we mean Americans. For instance: I gave up on white girls, but russian girls are the shit."
3080,"Post pic so we have context, try older women if your virginity is not super sacred to you, was at the bar yesterday and the amount of 40 year old cougars hunting for young meat was borderline pathetic 😂😂"
10062, Actually she doesn't kill them - she just sucks the souls out of them for nourishment after she takes her meat suit off.
3064,If you said it it would be a lie. You lack honor. Clearly you are a female.
3043,#ValerieJarrett moves into DC Mansion to plan overthrow or impeachment of Trump with bastard traitor obama and his racist beast wife. #ShadowGovernment 
3051,"'woman speak is like donkey braying: be quiet, woman' old russian proverb"
2891,The moment my mom divorced my dad and went riding the cock carousel I knew I’d never date again. Seven years later I’ve held up. Been a great 7 years.
10175,"She should have known better. I wonder why some female teachers do not take their marriage vows seriously?! also what does a young boy have to offer, he has no experience."
10087,"+ 1 on the ""Not being able to bang your neighbors wife"" comment."
953,"So if men can beat women at cooking and cleaning, why are incels so obsessed with finding women who can double as a maid? 🤔"
957,I hope she gets raped
10091,"best solution is this; buy a fleshlight, rent a pros, have the whore hold the fleshlight above her pussy, pound away and hold her tits. Brutal. I love it."
10116,Your woman is not all women. awalt > How are the threesomes coming along? can't complain > Hire any more hookers? still just the one
10126,"Tbf such a bitch can't love anyone but herself. Incels also want a relationship, not just sex."
2925,"It is pretty remarkable to be honest Dozens of literally porn star type girls that you can fuck for cheap. And people want to “get a 10” so badly lol. Fucking a 10 feels awesome but it’s still just fucking, I agree"
237,"""Nothing is as dangerous to feminism as a traditional woman."""
7935,I hate that limo-leftist cunt and her crossdressing Jew.
2886,"No doubt, but I think in any relationship longer than 5 years there's basically a 100% chance that your woman has fucked around on you."
209,"You say you're a MGTOW, why in the hell did you agree to this? She made her damn bed. Bet your ass she would have never done the same for you if you were in her situation."
6480,"""and because you are girls, pretty and a bit silly, you are easy to deceive"" Go figure the media is so afraid of Russians. LMAO"
6483,selection bias - plus most women on tinder are there for validation not sex
7898,"Pretty much no hint of the subject being mensrights is left, everything from the sidebar to the posts to the forum caption is more and more exclusively ""we hate feminism"" or ""women are bad"" and very little about anything to do with mensrights."
6466,Some white man needs to rescue her from her crazy ass Judeo-Marxist parents.
6596,Excellent idea. Military wives are trash.
194,To female Bishops stop making fun of religion.
10232,"You know, boys, a nuclear reactor is a lot like a woman. You just have to read the manual and press the right buttons. ~Homer Simpson"
2712,"The two biggest porn searches from women are 'rape' and 'gangbang', lol Dozens of studies show this, look it up."
2718,"You don't hold them collectively accountable by extinguishing your line unless you're just retarded. Lower your looks-based expectations, and then look for a woman who thinks she doesn't deserve you, and has a good attitude, and live."
10242,"""You called my wife a whore online. That is illegal. You're being sued for libel."" - Vox day"
2859,Muslim women wear the Burka because the numbers of muslim men is too high. They kniw they'll be raped if they don't. Allahs mohammads law
989,Hard time deciding if she is as stupid as she looks or she really thinks people are as dumb as dirt. 
991," Nigger foreplay = ""If u scream I'll kill you, bitch!"". #niggers #tnb #DinduNuffin #blackcrime"
2826,"The whole ""beta provider"" paradigm will slowly collapse for women. The only beta providers that will stay in the game will be 0 to 3's. That's like me getting rid of a dry spell by fucking a 400 pound land whale. There are limits. Women are fucked."
2793,The ankles never lie... Big ankles on a skinny girl? She's only skinny for now...
2753,Lol. Scaredy-twat runs away again.
2760,I for one am glad Chad is fucking women who are on the pill.
947,"Fucking skank. She should be in jail,"
2885,"You're spending time wondering about the motivation and intent of women on-line? On-line is beta. They aleady assume you're low value, which is why you have time to spend on there."
1000,Ghost her ass.
7824,"dykes and faggots should not be allowed to adopt, period. These sickos will only ruin a child's life by leading them into their perversions."
6555,If you can't handle the mindfuck then don't fuck her.
6531,"When girls hug, they are continuing to gossip. When guys hug, one of 'em is ""going down""...lol"
7857,"Well, they define rape so women *can't* rape men. But I don't take my morality from feminists."
7878,"""Come on girl, my magic wand won't suck itself..."""
6687,"Of course. I've seen a lot of good samaritan's, including myself and friends, beings thrown in court/jail or beings sued by frustrated women. I would never help a woman again if nobody else around to back me up."
11872,Salim Mehajer 'threatened to rape car repair worker's mother' over dispute about his Ferrari - as his friends call him a 'f***ing showpony' and warn him the 'bikies might ring' 
10218,You mean women ARENT masturbating to pictures of men doing the dishes????
10222,"The lawyer chick will shoot down the McDonald's guy, every time, no matter how he looks. That's just the world that we live in. Agree to disagree, I suppose."
10339,So how did men reproduce before the female virus kicked in?
2519,"Yep. Yesterday, I heard those young whippersnapper lawyers giggling and singing ""Ding-dong the witch is dead, the witch is dead!"". They were informed today that they ARE the witch. Pity."
2703,"Get the bitch. If she's guilty, send her to a prison in the Negev and gas her daily. Or something lmao. How many more of (((those roaches))) in israel are guilty of something? PM's, a former president there... bunch of lowlifes..."
2658,"MO is a dick. No First 'Lady' has had the balls to say something like this. Words not becoming of a exiting FLOTUS. She has trashed America before, during, and will after... It's tough not to hate her(and I do). _ _ _ _ "
10272,To minimize the percentage of deleterious mutations in your offspring so their genetic fitness is maximized for finding a mate and procreating further; you idiot woman.
10276,"I am not asking for a lot, just a mid 20s female not overweight just like me. But nope no one, I guess the politic and hobbie doesn’t match with them whilst I don’t even have such requirement at all. When I am be nice just a creepy r/niceguys."
2653,It still sounds like you might just have a reactive libido or what I call a pretty normal female libido.
10296,Kick the trans in her man eat
10305,Shut it women
10314,"Solid RP truth. I like you. Hell, you can come over and fuck my sister."
7760,Some people should never be bald. Forceps are a bitch.
6621,"CRAZY BIMBO IS BACK! White Uncle Tom: Rachel Dolezal says she's ""Trans-Black."" Ugh, this dumb bitch! I thought society was through with her! "
7821,"It's legal for all blacks to rape and murder white girls in Durham, NC and Charlottesville, VA. Durham DA Roger Echols and Charlottesville Judge Robert Downer will make sure they all get off. ‍ ‍"
7709,Katy thinks her bodacious boobs will let her get away with anything. She is an idiot !
7715,Is she now also claiming gang rape?
7721,"Non-rape from a Chad, rape from a Joe."
6724,Hopefully they deny her pussy pass and lock her up for a substantial amount of time.
2605,Who is that ugly woman and why did Nike let her design shoes?
10332,"I know but the pointy, tasseled boob thing she's wearing... I couldn't resist."
2560,"Relationships are dead, and women killed em He would've been better off just pumping and dumping"
2558,"I saw this as well, women done want the 80% of beta males to understand this."
10453,she admitted somewhere to be a sex worker... nothing against sex workers but you know... yikes
2352,Hilarity. I had sex with a black woman once. It was a bizarre sensation. It occurred to me perhaps this is what prison sex is like: You close your eyes and try to imagine you are having sex with a woman.
10387,It is mind boggling how much these normies worship females
10396,what do you think about that ? Should i pay her ? Pay whatever she's minimally entitled to legally but kick her ass to the curb.
10398,Typical praising of women and bashing of men. They're so predictable. And dumb.
2471,I don't care if women wear makeup. It's worthless and a waste of time in my opinion. Check usernames before replying next time.
2454,"The used condom in the bin somehow ended up in her pussy, magic!"
2417,"maybe 10 years ago, now she's too fat and too mommy"
2409,Want every woman tearing at your pants this October (the cute ones)? Try Pumpkin Spice Penis Deodorant. You're welcome men!
6709,Make women irrelevant. That is the most noble thing to do for oneself.
7739,"Based on her logic, I shouldn't lock my doors because that would violate the Rights of a Thief, I shouldn't be armed because that would violate the Rights of a Robber, etc. Pelosi is stupid as fuck."
6690,It's part of the gynocentric society's effort to abolish all standards for women.
6676,"That's because more guys are attracted to the roles. It is also an area where guys tend to be naturally better at. The thing is, you probably won't admit that women on average are better at other things."
6784,"thing is Buffers, I've met a number of white people with dreadlocks over the years, and they've all, to a man, been trustafarian cunts"
7665,"  yes. I agree with this completely. PP uses emotional argument that being against them is anti-women, but their services suck. Women would be better served fighting for better care in another system."
2392,I've dealt with evil women personally so this is no surprise it does make a case for awalt. She cares more about her movement that a man that loved her.
2382,"Sometimes girls laugh if they like you, they're silly creatures."
10449,"Damn don’t do that to yourself. It sounds like sex is important to you so if a girl isn’t having sex with you by the 5th or 6th date at most, just move on. Check out the dicarlo escalation method"
2124,"Greens, eh? The fateful question of the Occident is thus now whether young female university graduates can be continually served with yoga and Pilates courses even amidst the ruins looming on the horizon."
10638,Guys! Red just said he likes his dog better than women! Incels would totally fuck a dog over a cum-faced Stacy. That is the blackest of dogpills. Or the doggest of blackpills?
10523,"It’s more plausible than the retardation the cucks are currently pushing about merkel being Hitler’s daughter, but still absurd AF."
10524,"No where near as bad as the average wife who not just prey's on the husband via divorce court, but destroys children's lives while she's at it."
2243,yep what made her think she could enter a nest of niggers? this is how they are not victim blaming but the white guilt and black victim industries are getting whites killed
10542,She’s def no victim as he didn’t rape her She’s married & cheats on her husband Bad judgment personally & professionally Period
10564,"But there are no lesbians. She's in high school, she'll work up to dudes eventually. I'm joking in a fashion but apparently in Japan I heard lesbian teens are considered normal, and that they will grow out of it."
1061,A simp is fucking the girl you want. What does that make you? Time to act or move on.
2072,Looks like a tranny witch
2078,"If I recall correctly, the Icelanders of today are descended from a male population that was 80% scandinavian, 20% celtic (thralls), and a female population that was 60% celtic (war booty from raids), 40% scandinavian."
2054,That poor bastard. Really scrapping under the barrel to fall for her.
10671,"""Weeze knows how to handle Uppity White Women"" Don't be an uppity white woman in Louisianan. "
2034,Shudder.. if you had to have sex with her you would have to roll her in flour first so you could find the wet parts.
2027,"You misogynist cisgendered scum. You dared to use facts to show Saint Anita is wrong, plz reconsider your actions as it constitutes harassment of a woman. /s"
10692,Strong women scare me.
2187,"So which is is gals? Are you strong, independent, and persistent, or are you victims that constantly needs men to come to your defense? Chivalry is long dead, so you better put your big-boy pants on bitches..."
10580,This is what happens to guys who don't get pussy.
2163,"uhh basically everything, any woman who joins anything like that with glee is mentally insane, if they weren't, they wouldn't"
10601,If you’re 6’3” chad with a 2” dick she will find another chad. Maybe not an incel but fuck I can sympathize.
2144,"Canadians, how could you have elected this ignorant piece of shit to be the leader of you country? He is a Left Wing pussy not fit to govern anybody anywhere."
10642,"Im the kind of guy who doesn't like sticking my dick in tons of women. So waiting after a few dates helped me know if ill be with this girl for a while. But now that im mgtow, im slowly becoming monk because im starting to hate women."
2089,Greek authorities move 400 'asylum seekers' out of crowded Lesbos camp: 
11889,Why is she in cadet uniform? TAKE HER ASS BACK TO THE KITCHEN!
6756,"I disagree, I think very few serial killers are incel and violence in any form is attractive to females."
7693,"And women still rob men without ""touching"" them..."
6891,"""Post locked because it's being infested by incel manchildren from r/mgtow"". Sure bud. We'll see who's gonna be laughing after 10 years when you get divorce raped."
128,quinn will eventually end up accusing al of her exes/sexual partners of rape and abuse. only a matter of time. someone should ask her which ex didnt sexually abuse her. quinn will be randomly accusing new people of rape 10 years from now
2064,Those create your owns (As in the ones where you put your name and chosen numbers) depending on what type of design of said pro or college ball jersey Nike's slinging can put a rape parade on the wallet.
6874,Societal pressure to be like the guys on TV? Self-worth seen as a driving factor for men? Please tell me you are female.
6877,chibs said if a woman describes “promiscuous behavior” it’s okay to call her a slut. Utterly false
7620,"Just have 0% body fat & dehydrated bro. Ricels not gauntmaxxing = volcel. holding ghoul frame theory's legit. I try contribute I'm no incel or got a pussy, sorry but rather me sorry than you sorry lads x"
7626,Did you guys notice how fuckin fat she is
7562,50 year old women would never want to have sex (or get turned on by the idea of having sex) with a 25 year old. That's a lie
11916,"I know a woman who slept with one off her best friends on off boyfriend. Dropped her entire social circle for a jerk, not even a Chad. She was an, 8 as well. SMH. She had choices, chose this guy. Women can be dumb."
1122,„Is a total cunt“ yes yes tell me again that girls don‘t like you because of looks?
11265,"I couldn't care that women don't want trans in women's sports, men aren't allowed any spaces to themselves, now its women's turn. I love the trans community."
10708,People need to be attracted to each other physically to be in a relationship. > Most women don’t get sexually excited at the sight of Chad Citation needed.
104,Brad Pitt has an insane SMV based on his celebrity status alone. He could get chubby and he would still have a bird of women wanting to suck his dick
1850,"    Charlottesville just elected a Communist Antifa nigger woman, Nikuyah Walker as the new mayor."
10804,Trump is Bibi's bitch-boi! White Helmets Plotting False Flag Chemical Attack in Southern Syria – Sources  #syria #bibisbitch
1794,Not my point. My point is the average woman puts more effort than the average man. I can walk outside and see plain as day more women that care about their appearance.
1166,Imagine if the WWE tried bringing the attitude era back and have a women walk on her fours and bark like Trish.
1137,"Well, you kinda gotta lower your standards a bit, and your dating pool may open. Heck, I even fingered a junkie girl."
1927,"I hate when I see a nigga come /this close 👌/ to saying women need to stick to our roles, but then adds just a pinch of feminist bullshit in a cucked attempt to not look ""sexist""."
10761,"I don’t even believe in everything TRP preaches, but this story is not an exception to what they say. That pussy must have been something dangerous for you to keep going back to her like she had you on a line."
10768,"you are mistaken, they don't want equality. They only want privileges without matching responsibilities."
11253,Most here would fuck her.
137,I'd not mind being raped honestly if she's attractive.
1870,Fucking beard having hijab wearing pieces of shit.
1153,"I don't care if she's Trump's daughter.., she's an insane, anti-American, jew married vapid overly privileged female..."
118,She choose not to have children because she is a huge dike.
120,"When a girl gives you shit test, scare the shit out of her."
7569," We will make her life and her supporter's lives a living hell... Aww, who am I kidding? We'll do it either way."
6909,So tell single moms to stop raising rapists
6884,"After getting stabbed with a fork my desire for random encountered has plummeted. Twice a month is fine with me,t’s about the same as my married friends with kids and I don’t have to put up any bullshit."
7042,I bet her future husband won't have anywhere near that much sex during his marriage lifetime with her.
6988,Do not support female professionals. Who knows how they got their grades.
6974,"She wants “closure”. Fuck her shit up by saying that the LTR YOU HAD WAS NICE, but now it’s over and there is no need to meet up to discuss it. Then hard next."
7554," Don't forget NO to actual rape, not imaginary rape. Muslims are all about raping and killing western women. But most of these liberals can't figure simple things out."
7111,"These types of girls feen over white dudes all day, even normie ones, because of the self hate they hold in their hearts for their skin color"
7115,"Crooked Hillary wanted to send a drone strike out on Julian Assange Can NOT wait till she gets charged! That bitch should hang, not just for TREASON but MURDER! #ClintonCash #ClintonBodyCount"
11936,Girlfriend: 'You're not laying in your boxers all day watching the football scores come in'. Who said women make shit comedians?
11219,"Damn right. Contraceptives and carpet bombs. We made 'em, we can take 'em out. It is our right as the reason why they exist in the first place, we are their gods. We can giveth and we can taketh away. / Too far ?"
1176,"Sorry, I don't speak stupid bitch..."
1750,"Good point. Some guys have absolutely no standards. Even a 500 pound woman finds some desperate loser willing to ""love her for who she is"""
1758,"Ok to any lurking incels: the above is a joke, don’t go putting yourself on torture racks. I know this seems ridiculous to have to point out.... but considering the fact that this is on a thread about a vagina getting “looser” with use......"
1738,"Absolutely not. She can tie you up, feed you with viagra and rape you until she gets pregnant and you will be liable for child support 'In the best interest of the child'. Welcome to the U.S."
1713,"Never cross a Russian women, they make crazy American women look like saints."
1864,"There is no overcoming the long odds because it’s based off your physical attractiveness. Take a hot guy, he’ll instantly match with women. Take a ugly one and he won’t get any matches, that’s how life goes."
10963,Amazing what I am hearing on the news this morning. Not even 7am and my blood is boiling. Gonna be one angry bitch old lady today!
1197,For sex just ask the girl you've been in contact with if she wants to come over and you'll cook her dinner. Make something that would make a 5 star restaurant jealous. Find a new girl at the party.
1723,Trump extortionist Stormy Daniels to facilitate cryptocurrency payments on her website for porn content -  #news #finance #bitcoin #stormydaniels
1699,Date rape is a common form of rape what would stop the attackers from using objects especially if the attacker was a woman.
1683,"Yep, Mattress Girl Kamala is the youngest so she's the most dangerous. She'll be around a long time in that shit state."
10827,"you bring in immigrants who do nothing but hate and cause violence,but your own people are supposed to just accept that.hang this traitor witch."
7504,"Well, to be fair, they called you a whore because you are female. It's not based on any aspect of behaviour or sex or anything but the fact you are female and they despise us to the depths of their beings."
7518," We've been together since yesterday, dont pretend you didnt know slut"
7020,"Because the government don’t give a shit! I wonder what would happen if laughing girl (on the picture) had a few paki cocks shoved up her arse? It’d be a different story then! Drain the swamp, execute the complicit."
7477,reeeeee wimminz are ivel
7500,If they did things my way. they would slowly kill her dragging her down our streets and cut her up into little pieces and send them to all of our enemies all over the world to show what happens to child killing TRAITORS!!
7441,Isnt it great when you've taken the red pill and can see this shit like an x-ray? Mgtow & Red for life
78,"My girlfriend is mentally retarded. Or if you want to be politically correct, a feminist."
11189,"""...and kill their women and then get away with it scoff-free because sanctuary cities will treat us like first-class citizens in need of special protection from the big bad evil Cheeto Hitler DRUMPFFFFF."""
1212,"It's true bruh. I also help with love lives. Show this meme to the next woman you see. If she doesn't laugh, smack the shit out of her. 😬"
10927,But then who will fuck your mom and little sister?
1638,"Men, like myself, need them because our moms fucked us up so badly."
7104,Agreed. My wife is a babe too. I remember after our third child was born she went a while without shaving her underarms. Not unattractive in the least. Same beautiful blonde shade as her pussy hair.
7108,"Jesus Christ. Soft porn has warped our collective minds. If I'm with a woman and a man so much as looks at her suggestively, there's gonna be a problem. Cucks are our leaders. Hey, to each his own. But our elite are creepy. Hell. "
52,Correction: Conservatives are prone to media witch hunts pinning dubious sex harassment claims on them. Liberals are prone to media hiding their sex harassment cases for them 
11007,The Jack Manley/Joseph Costello 6th street videos are everything you need to start hating women.
1578,should've hit her ass with tranq dart and let the lion do lion things.
1553,"You're not gonna convert anyone. A better post would be, ""Blacks typically commit more violent crime. White women have the right to receive this information, and should seriously consider this risk when looking for boyfriends."""
1554,this is why in other cultures women are beat on their wedding night
10921,He also claims that he NEVER gets rejected and can bang literally any girl he wants. Imagine that!!? See a perfect 10? I choose to go and pull her and I know with 100% I can't fail. LOL 
11947,In fact several feminist gamers have stated they don't play video games because they are 'lame'
7095,The little Nazi twerp deserved to get his girl ass fucked while he was away being a tool of imperialism. Would have been extra funny if it was a black dude banging her.
1432,"Jane will marry some sucker, cheat on him, get divorced, ride the CC, and end up fat, miserable and probably a single mother. You are going to be free, happy and successful!"
1521,"once the patriarchy is gone, the future is female. ...which will result in collapse, anarchy, war, destruction, slavery, famine, disease, devastation, death, new dark age and hard patriarchy. aka, the reset."
1515,I would love to suck her tits
11011,"new male successes will arise out of the ashes of lost ones like comic culture, pc gaming, herioc fantasy, boyscouts etc. may they forever remained scorned and ridiculed by women."
1243,🐵 here’s a 🍌 banana bitch since you wanna act like a monkey
7137,Where I am from. If a girl makes a move it usually means she is very desperate.
7144,I fuck strippers lol. It's a good time
7463,"Truefemcels is troll idk about fa, inb4 bbw whaling starts ranting about fa having truecel women"
11167,A face only his mother could love and of course whatever the hell married him!
7315,"In Greeley, CO they're tribes, one woman hit a pregnant praying woman with a meat hook and hard hat? Let them kill each other off! Don't eat those foods!"
7324,"Zionist porker related to Chuck 'the schmuck' Schumer, Amy 'makin' bacon' Schumer oinked to the camera's having found a police officer strong enough to haul her fat ass to jail. You Jews sure know how to put on a show!"
11151,Why can't women be Catholic priests? Because you can't shove a vagina up a little boy's arse.
11,"Look at that pale fatass blob with a pixie cut, or weird beatles haircut. She waddles around wearing vile shirts. I hope trash like her die off before producing offspring."
11965,"Nah the horse face told someone that she was not attracted to me at all. Its a very good thing she was banging a guy at the job everyone tough was gay, he was cheating on is wife with that ugly toth"
22,"Single for women mean sleeping around and finding a partner within a few days. I've never had sex. I'm not ""single"", I'm incel."
1460,Tell that to Weev you lying shitskin son of a bitch.
1278,"I'm 5""3, underweight, and don't have a 6 figures job. I still haven't struggled finding a relationship or talking to girls. The secret ingredient is to not be a total wanker."
5346,Apparently they are also bashing white women. I will not self-flagelate and women of color will have nothing to do with saving this country.
11575,"I'm from the future, here is a [NSFL photo]( of her 5 years after their marriage. My work here is is done, now if you will excuse me I have to go bleach my eyes."
29,"This sounds like it was written by a feminist troll who thinks she knows what MRP is about. That, or you are just a dick to your wife. And i mean figuratively not literally. A bully."
7310," ""year round winter wear, for the icy elite bitch of today."" she shears her sheep and wears their wool as a sign of dominance."
7338,Because girls are immature at that age and don’t know what they want tee hee
7274,That niggress is a straight up whore - the consummate product of the society you claim to be against because you're a conservative. SmDh. You will attack a white girl because she's not a nigger whore. How seriously screwed is that? ‍
7350,"Never spoil anyone, not only women otherwise you end up creating spoiled-brats who care nothing about you."
7248,"Poisoned drinks fall under the category of ""real rape"" (violent attacker). No grey area there. I guess one could discuss if women should go drinking at bars alone."
7390,"I see. I hope that your balls are metaphorical, little lady."
1353,Why do all these commie girls have middle age bellies?
11146,"I don’t know who that is, but sounds like she might be loaded so yeah why the fuck not. You can be on the 9-5 for 40 years plan or suck 20 dicks for an hour for $10M plan."
